ID,CODE_Origin,CODE_Destination,Palets
1,Madrid,Barcelona,130.0
2,Madrid,Valencia,10.0
3,Madrid,Seville,80.0
4,Madrid,Bilbao,72.0
5,Madrid,Zaragoza,64.0
6,Barcelona,Valencia,48.0
7,Graz,Ljubljana,48.0
8,Barcelona,Bilbao,44.0
9,Valencia,Seville,64.0
10,Strasbourg,Frankfurt,88.0
11,Ljubljana,Zagreb,88.0
12,Bilbao,Barcelona,44.0
13,Bilbao,Valencia,60.0
14,Barcelona,Marseille,48.0
15,Paris,Lyon,96.0
16,Paris,Brussels,88.0
17,Paris,Amsterdam,80.0
18,Lyon,Marseille,56.0
19,Marseille,Toulouse,64.0
20,Berlin,Hamburg,104.0
21,Berlin,Munich,88.0
22,Berlin,Cologne,72.0
23,Munich,Frankfurt,56.0
24,Cologne,Berlin,72.0
25,Frankfurt,Munich,56.0
26,Hamburg,Bremen,40.0
27,Rome,Milan,96.0
28,Rome,Naples,72.0
29,Milan,Venice,40.0
30,Milan,Bologna,56.0
31,Milan,Genoa,32.0
32,London,Birmingham,96.0
33,London,Manchester,88.0
34,London,Glasgow,104.0
35,Birmingham,Manchester,48.0
36,Birmingham,Liverpool,56.0
37,Liverpool,Dublin,12.8
38,Amsterdam,Bruxelles,40.0
39,Amsterdam,Rotterdam,48.0
40,Amsterdam,Utrecht,32.0
41,Bruxelles,Antwerp,24.0
42,Bruxelles,Louvain,32.0
43,Vienna,Budapest,80.0
44,Vienna,Graz,48.0
45,Budapest,Bratislava,40.0
46,Budapest,Krakow,56.0
47,Copenhague,Malmo,48.0
48,Oslo,Stockholm,64.0
49,Helsinki,Stockholm,72.0
50,Helsinki,Tallinn,56.0
51,Tallinn,Riga,32.0
52,Vilnius,Riga,24.0
53,Oslo,Bergen,40.0
54,Skopje,Sofia,12.0
55,Athens,Patras,56.0
56,Thessaloniki,Skopje,48.0
57,Bucharest,Constanta,56.0
58,Sofia,Bucharest,72.0
59,Sofia,Plovdiv,40.0
60,Zagreb,Split,40.0
61,Zagreb,Osijek,32.0
62,Belgrade,Zagreb,64.0
63,Bratislava,Vienna,48.0
64,Sarajevo,Mostar,24.0
65,Prague,Brno,56.0
66,Prague,Olomouc,40.0
67,Dublin,Belfast,64.0
68,Dublin,Cork,48.0
69,Lisbonne,Porto,72.0
70,Lisbonne,Braga,56.0
71,Moscow,Kharkiv,20.8
72,Patras,Thessaloniki,12.0
73,Nantes,Paris,56.0
74,Monaco,Marseille,52.0
75,Milan,Turin,44.0
76,Minsk,Vilnius,20.0
77,Paris,Strasbourg,72.0
78,Luxembourg,Nice,60.0
79,Alicante,Elche,52.0
80,Paris,London,13.6
81,Kosice,Krakow,12.0
82,Milan,Monaco,44.0
83,Split,Mostar,44.0
84,Podgorica,Mostar,44.0
85,Ljubljana,Berne,60.0
86,Berne,Terrassa,52.0
87,Terrassa,Oviedo,56.0
88,Clermont-Ferrand,Paris,3.2
89,Odessa,Chisinau,72.0
90,Palma,Oporto,56.0
91,Odessa,Kiev,72.0
92,Pristina,Skopje,72.0
93,Toulouse,Bilbao,6.4
94,Uppsala,Stockholm,64.0
95,Vitoria-Gasteiz,Santander,60.0
96,Seville,Santa Cruz de Tenerife,52.0
97,Santa Cruz de Tenerife,Granada,44.0
98,Toulouse,Clermont-Ferrand,6.4
99,Calais,Paris,52.0
100,Valladolid,La Coruna,68.0
101,Vilnius,Moscow,36.0
102,Malaga,Granada,36.0
103,Malmo,Stockholm,36.0
104,Plymouth,Santander,56.0
105,Plymouth,London,52.0
106,Kiev,Kharkiv,12.0
107,La Coruna,Vigo,9.6
108,Valladolid,Madrid,9.6
109,Aalborg,Copenhague,72.0
110,Bergen,Stavanger,9.6
111,Alicante,Las Palmas de Gran Canaria,56.0
112,Oviedo,Gijon,52.0
113,Cartagena,Murcia,72.0
114,Pristina,Podgorica,68.0
115,Podgorica,Odessa,60.0
116,Munich,Prague,68.0
117,Olomouc,Krakow,76.0
118,Warsaw,Berlin,80.0
119,Warsaw,Vilnius,60.0
120,Vilnius,Krakow,56.0
121,Hamburg,Copenhague,56.0
