ID,CODE_Origin,CODE_Destination,Palets
1,Madrid,Barcelona,32.5
2,Madrid,Valencia,2.5
3,Madrid,Seville,20.0
4,Madrid,Bilbao,18.0
5,Madrid,Zaragoza,16.0
6,Barcelona,Valencia,12.0
7,Graz,Ljubljana,12.0
8,Barcelona,Bilbao,11.0
9,Valencia,Seville,16.0
10,Strasbourg,Frankfurt,22.0
11,Ljubljana,Zagreb,22.0
12,Bilbao,Barcelona,11.0
13,Bilbao,Valencia,15.0
14,Barcelona,Marseille,12.0
15,Paris,Lyon,24.0
16,Paris,Brussels,22.0
17,Paris,Amsterdam,20.0
18,Lyon,Marseille,14.0
19,Marseille,Toulouse,16.0
20,Berlin,Hamburg,26.0
21,Berlin,Munich,22.0
22,Berlin,Cologne,18.0
23,Munich,Frankfurt,14.0
24,Cologne,Berlin,18.0
25,Frankfurt,Munich,14.0
26,Hamburg,Bremen,10.0
27,Rome,Milan,24.0
28,Rome,Naples,18.0
29,Milan,Venice,10.0
30,Milan,Bologna,14.0
31,Milan,Genoa,8.0
32,London,Birmingham,24.0
33,London,Manchester,22.0
34,London,Glasgow,26.0
35,Birmingham,Manchester,12.0
36,Birmingham,Liverpool,14.0
37,Liverpool,Dublin,3.2
38,Amsterdam,Bruxelles,10.0
39,Amsterdam,Rotterdam,12.0
40,Amsterdam,Utrecht,8.0
41,Bruxelles,Antwerp,6.0
42,Bruxelles,Louvain,8.0
43,Vienna,Budapest,20.0
44,Vienna,Graz,12.0
45,Budapest,Bratislava,10.0
46,Budapest,Krakow,14.0
47,Copenhague,Malmo,12.0
48,Oslo,Stockholm,16.0
49,Helsinki,Stockholm,18.0
50,Helsinki,Tallinn,14.0
51,Tallinn,Riga,8.0
52,Vilnius,Riga,6.0
53,Oslo,Bergen,10.0
54,Skopje,Sofia,3.0
55,Athens,Patras,14.0
56,Thessaloniki,Skopje,12.0
57,Bucharest,Constanta,14.0
58,Sofia,Bucharest,18.0
59,Sofia,Plovdiv,10.0
60,Zagreb,Split,10.0
61,Zagreb,Osijek,8.0
62,Belgrade,Zagreb,16.0
63,Bratislava,Vienna,12.0
64,Sarajevo,Mostar,6.0
65,Prague,Brno,14.0
66,Prague,Olomouc,10.0
67,Dublin,Belfast,16.0
68,Dublin,Cork,12.0
69,Lisbonne,Porto,18.0
70,Lisbonne,Braga,14.0
71,Moscow,Kharkiv,5.2
72,Patras,Thessaloniki,3.0
73,Nantes,Paris,14.0
74,Monaco,Marseille,13.0
75,Milan,Turin,11.0
76,Minsk,Vilnius,5.0
77,Paris,Strasbourg,18.0
78,Luxembourg,Nice,15.0
79,Alicante,Elche,13.0
80,Paris,London,3.4
81,Kosice,Krakow,3.0
82,Milan,Monaco,11.0
83,Split,Mostar,11.0
84,Podgorica,Mostar,11.0
85,Ljubljana,Berne,15.0
86,Berne,Terrassa,13.0
87,Terrassa,Oviedo,14.0
88,Clermont-Ferrand,Paris,0.8
89,Odessa,Chisinau,18.0
90,Palma,Oporto,14.0
91,Odessa,Kiev,18.0
92,Pristina,Skopje,18.0
93,Toulouse,Bilbao,1.6
94,Uppsala,Stockholm,16.0
95,Vitoria-Gasteiz,Santander,15.0
96,Seville,Santa Cruz de Tenerife,13.0
97,Santa Cruz de Tenerife,Granada,11.0
98,Toulouse,Clermont-Ferrand,1.6
99,Calais,Paris,13.0
100,Valladolid,La Coruna,17.0
101,Vilnius,Moscow,9.0
102,Malaga,Granada,9.0
103,Malmo,Stockholm,9.0
104,Plymouth,Santander,14.0
105,Plymouth,London,13.0
106,Kiev,Kharkiv,3.0
107,La Coruna,Vigo,2.4
108,Valladolid,Madrid,2.4
109,Aalborg,Copenhague,18.0
110,Bergen,Stavanger,2.4
111,Alicante,Las Palmas de Gran Canaria,14.0
112,Oviedo,Gijon,13.0
113,Cartagena,Murcia,18.0
114,Pristina,Podgorica,17.0
115,Podgorica,Odessa,15.0
116,Munich,Prague,17.0
117,Olomouc,Krakow,19.0
118,Warsaw,Berlin,20.0
119,Warsaw,Vilnius,15.0
120,Vilnius,Krakow,14.0
121,Hamburg,Copenhague,14.0
1,Barcelona,Madrid,32.5
2,Valencia,Madrid,2.5
3,Seville,Madrid,20.0
4,Bilbao,Madrid,18.0
5,Zaragoza,Madrid,16.0
6,Valencia,Barcelona,12.0
7,Ljubljana,Graz,12.0
8,Bilbao,Barcelona,11.0
9,Seville,Valencia,16.0
10,Frankfurt,Strasbourg,22.0
11,Zagreb,Ljubljana,22.0
12,Barcelona,Bilbao,11.0
13,Valencia,Bilbao,15.0
14,Marseille,Barcelona,12.0
15,Lyon,Paris,24.0
16,Brussels,Paris,22.0
17,Amsterdam,Paris,20.0
18,Marseille,Lyon,14.0
19,Toulouse,Marseille,16.0
20,Hamburg,Berlin,26.0
21,Munich,Berlin,22.0
22,Cologne,Berlin,18.0
23,Frankfurt,Munich,14.0
24,Berlin,Cologne,18.0
25,Munich,Frankfurt,14.0
26,Bremen,Hamburg,10.0
27,Milan,Rome,24.0
28,Naples,Rome,18.0
29,Venice,Milan,10.0
30,Bologna,Milan,14.0
31,Genoa,Milan,8.0
32,Birmingham,London,24.0
33,Manchester,London,22.0
34,Glasgow,London,26.0
35,Manchester,Birmingham,12.0
36,Liverpool,Birmingham,14.0
37,Dublin,Liverpool,3.2
38,Bruxelles,Amsterdam,10.0
39,Rotterdam,Amsterdam,12.0
40,Utrecht,Amsterdam,8.0
41,Antwerp,Bruxelles,6.0
42,Louvain,Bruxelles,8.0
43,Budapest,Vienna,20.0
44,Graz,Vienna,12.0
45,Bratislava,Budapest,10.0
46,Krakow,Budapest,14.0
47,Malmo,Copenhague,12.0
48,Stockholm,Oslo,16.0
49,Stockholm,Helsinki,18.0
50,Tallinn,Helsinki,14.0
51,Riga,Tallinn,8.0
52,Riga,Vilnius,6.0
53,Bergen,Oslo,10.0
54,Sofia,Skopje,3.0
55,Patras,Athens,14.0
56,Skopje,Thessaloniki,12.0
57,Constanta,Bucharest,14.0
58,Bucharest,Sofia,18.0
59,Plovdiv,Sofia,10.0
60,Split,Zagreb,10.0
61,Osijek,Zagreb,8.0
62,Zagreb,Belgrade,16.0
63,Vienna,Bratislava,12.0
64,Mostar,Sarajevo,6.0
65,Brno,Prague,14.0
66,Olomouc,Prague,10.0
67,Belfast,Dublin,16.0
68,Cork,Dublin,12.0
69,Porto,Lisbonne,18.0
70,Braga,Lisbonne,14.0
71,Kharkiv,Moscow,5.2
72,Thessaloniki,Patras,3.0
73,Paris,Nantes,14.0
74,Marseille,Monaco,13.0
75,Turin,Milan,11.0
76,Vilnius,Minsk,5.0
77,Strasbourg,Paris,18.0
78,Nice,Luxembourg,15.0
79,Elche,Alicante,13.0
80,London,Paris,3.4
81,Krakow,Kosice,3.0
82,Monaco,Milan,11.0
83,Mostar,Split,11.0
84,Mostar,Podgorica,11.0
85,Berne,Ljubljana,15.0
86,Terrassa,Berne,13.0
87,Oviedo,Terrassa,14.0
88,Paris,Clermont-Ferrand,0.8
89,Chisinau,Odessa,18.0
90,Oporto,Palma,14.0
91,Kiev,Odessa,18.0
92,Skopje,Pristina,18.0
93,Bilbao,Toulouse,1.6
94,Stockholm,Uppsala,16.0
95,Santander,Vitoria-Gasteiz,15.0
96,Santa Cruz de Tenerife,Seville,13.0
97,Granada,Santa Cruz de Tenerife,11.0
98,Clermont-Ferrand,Toulouse,1.6
99,Paris,Calais,13.0
100,La Coruna,Valladolid,17.0
101,Moscow,Vilnius,9.0
102,Granada,Malaga,9.0
103,Stockholm,Malmo,9.0
104,Santander,Plymouth,14.0
105,London,Plymouth,13.0
106,Kharkiv,Kiev,3.0
107,Vigo,La Coruna,2.4
108,Madrid,Valladolid,2.4
109,Copenhague,Aalborg,18.0
110,Stavanger,Bergen,2.4
111,Las Palmas de Gran Canaria,Alicante,14.0
112,Gijon,Oviedo,13.0
113,Murcia,Cartagena,18.0
114,Podgorica,Pristina,17.0
115,Odessa,Podgorica,15.0
116,Prague,Munich,17.0
117,Krakow,Olomouc,19.0
118,Berlin,Warsaw,20.0
119,Vilnius,Warsaw,15.0
120,Krakow,Vilnius,14.0
121,Copenhague,Hamburg,14.0
