ID,CODE_Origin,CODE_Destination,Palets
1,Madrid,Barcelona,65.0
2,Madrid,Valencia,5.0
3,Madrid,Seville,40.0
4,Madrid,Bilbao,36.0
5,Madrid,Zaragoza,32.0
6,Barcelona,Valencia,24.0
7,Graz,Ljubljana,24.0
8,Barcelona,Bilbao,22.0
9,Valencia,Seville,32.0
10,Strasbourg,Frankfurt,44.0
11,Ljubljana,Zagreb,44.0
12,Bilbao,Barcelona,22.0
13,Bilbao,Valencia,30.0
14,Barcelona,Marseille,24.0
15,Paris,Lyon,48.0
16,Paris,Brussels,44.0
17,Paris,Amsterdam,40.0
18,Lyon,Marseille,28.0
19,Marseille,Toulouse,32.0
20,Berlin,Hamburg,52.0
21,Berlin,Munich,44.0
22,Berlin,Cologne,36.0
23,Munich,Frankfurt,28.0
24,Cologne,Berlin,36.0
25,Frankfurt,Munich,28.0
26,Hamburg,Bremen,20.0
27,Rome,Milan,48.0
28,Rome,Naples,36.0
29,Milan,Venice,20.0
30,Milan,Bologna,28.0
31,Milan,Genoa,16.0
32,London,Birmingham,48.0
33,London,Manchester,44.0
34,London,Glasgow,52.0
35,Birmingham,Manchester,24.0
36,Birmingham,Liverpool,28.0
37,Liverpool,Dublin,6.4
38,Amsterdam,Bruxelles,20.0
39,Amsterdam,Rotterdam,24.0
40,Amsterdam,Utrecht,16.0
41,Bruxelles,Antwerp,12.0
42,Bruxelles,Louvain,16.0
43,Vienna,Budapest,40.0
44,Vienna,Graz,24.0
45,Budapest,Bratislava,20.0
46,Budapest,Krakow,28.0
47,Copenhague,Malmo,24.0
48,Oslo,Stockholm,32.0
49,Helsinki,Stockholm,36.0
50,Helsinki,Tallinn,28.0
51,Tallinn,Riga,16.0
52,Vilnius,Riga,12.0
53,Oslo,Bergen,20.0
54,Skopje,Sofia,6.0
55,Athens,Patras,28.0
56,Thessaloniki,Skopje,24.0
57,Bucharest,Constanta,28.0
58,Sofia,Bucharest,36.0
59,Sofia,Plovdiv,20.0
60,Zagreb,Split,20.0
61,Zagreb,Osijek,16.0
62,Belgrade,Zagreb,32.0
63,Bratislava,Vienna,24.0
64,Sarajevo,Mostar,12.0
65,Prague,Brno,28.0
66,Prague,Olomouc,20.0
67,Dublin,Belfast,32.0
68,Dublin,Cork,24.0
69,Lisbonne,Porto,36.0
70,Lisbonne,Braga,28.0
71,Moscow,Kharkiv,10.4
72,Patras,Thessaloniki,6.0
73,Nantes,Paris,28.0
74,Monaco,Marseille,26.0
75,Milan,Turin,22.0
76,Minsk,Vilnius,10.0
77,Paris,Strasbourg,36.0
78,Luxembourg,Nice,30.0
79,Alicante,Elche,26.0
80,Paris,London,6.8
81,Kosice,Krakow,6.0
82,Milan,Monaco,22.0
83,Split,Mostar,22.0
84,Podgorica,Mostar,22.0
85,Ljubljana,Berne,30.0
86,Berne,Terrassa,26.0
87,Terrassa,Oviedo,28.0
88,Clermont-Ferrand,Paris,1.6
89,Odessa,Chisinau,36.0
90,Palma,Oporto,28.0
91,Odessa,Kiev,36.0
92,Pristina,Skopje,36.0
93,Toulouse,Bilbao,3.2
94,Uppsala,Stockholm,32.0
95,Vitoria-Gasteiz,Santander,30.0
96,Seville,Santa Cruz de Tenerife,26.0
97,Santa Cruz de Tenerife,Granada,22.0
98,Toulouse,Clermont-Ferrand,3.2
99,Calais,Paris,26.0
100,Valladolid,La Coruna,34.0
101,Vilnius,Moscow,18.0
102,Malaga,Granada,18.0
103,Malmo,Stockholm,18.0
104,Plymouth,Santander,28.0
105,Plymouth,London,26.0
106,Kiev,Kharkiv,6.0
107,La Coruna,Vigo,4.8
108,Valladolid,Madrid,4.8
109,Aalborg,Copenhague,36.0
110,Bergen,Stavanger,4.8
111,Alicante,Las Palmas de Gran Canaria,28.0
112,Oviedo,Gijon,26.0
113,Cartagena,Murcia,36.0
114,Pristina,Podgorica,34.0
115,Podgorica,Odessa,30.0
116,Munich,Prague,34.0
117,Olomouc,Krakow,38.0
118,Warsaw,Berlin,40.0
119,Warsaw,Vilnius,30.0
120,Vilnius,Krakow,28.0
121,Hamburg,Copenhague,28.0
1,Barcelona,Madrid,65.0
2,Valencia,Madrid,5.0
3,Seville,Madrid,40.0
4,Bilbao,Madrid,36.0
5,Zaragoza,Madrid,32.0
6,Valencia,Barcelona,24.0
7,Ljubljana,Graz,24.0
8,Bilbao,Barcelona,22.0
9,Seville,Valencia,32.0
10,Frankfurt,Strasbourg,44.0
11,Zagreb,Ljubljana,44.0
12,Barcelona,Bilbao,22.0
13,Valencia,Bilbao,30.0
14,Marseille,Barcelona,24.0
15,Lyon,Paris,48.0
16,Brussels,Paris,44.0
17,Amsterdam,Paris,40.0
18,Marseille,Lyon,28.0
19,Toulouse,Marseille,32.0
20,Hamburg,Berlin,52.0
21,Munich,Berlin,44.0
22,Cologne,Berlin,36.0
23,Frankfurt,Munich,28.0
24,Berlin,Cologne,36.0
25,Munich,Frankfurt,28.0
26,Bremen,Hamburg,20.0
27,Milan,Rome,48.0
28,Naples,Rome,36.0
29,Venice,Milan,20.0
30,Bologna,Milan,28.0
31,Genoa,Milan,16.0
32,Birmingham,London,48.0
33,Manchester,London,44.0
34,Glasgow,London,52.0
35,Manchester,Birmingham,24.0
36,Liverpool,Birmingham,28.0
37,Dublin,Liverpool,6.4
38,Bruxelles,Amsterdam,20.0
39,Rotterdam,Amsterdam,24.0
40,Utrecht,Amsterdam,16.0
41,Antwerp,Bruxelles,12.0
42,Louvain,Bruxelles,16.0
43,Budapest,Vienna,40.0
44,Graz,Vienna,24.0
45,Bratislava,Budapest,20.0
46,Krakow,Budapest,28.0
47,Malmo,Copenhague,24.0
48,Stockholm,Oslo,32.0
49,Stockholm,Helsinki,36.0
50,Tallinn,Helsinki,28.0
51,Riga,Tallinn,16.0
52,Riga,Vilnius,12.0
53,Bergen,Oslo,20.0
54,Sofia,Skopje,6.0
55,Patras,Athens,28.0
56,Skopje,Thessaloniki,24.0
57,Constanta,Bucharest,28.0
58,Bucharest,Sofia,36.0
59,Plovdiv,Sofia,20.0
60,Split,Zagreb,20.0
61,Osijek,Zagreb,16.0
62,Zagreb,Belgrade,32.0
63,Vienna,Bratislava,24.0
64,Mostar,Sarajevo,12.0
65,Brno,Prague,28.0
66,Olomouc,Prague,20.0
67,Belfast,Dublin,32.0
68,Cork,Dublin,24.0
69,Porto,Lisbonne,36.0
70,Braga,Lisbonne,28.0
71,Kharkiv,Moscow,10.4
72,Thessaloniki,Patras,6.0
73,Paris,Nantes,28.0
74,Marseille,Monaco,26.0
75,Turin,Milan,22.0
76,Vilnius,Minsk,10.0
77,Strasbourg,Paris,36.0
78,Nice,Luxembourg,30.0
79,Elche,Alicante,26.0
80,London,Paris,6.8
81,Krakow,Kosice,6.0
82,Monaco,Milan,22.0
83,Mostar,Split,22.0
84,Mostar,Podgorica,22.0
85,Berne,Ljubljana,30.0
86,Terrassa,Berne,26.0
87,Oviedo,Terrassa,28.0
88,Paris,Clermont-Ferrand,1.6
89,Chisinau,Odessa,36.0
90,Oporto,Palma,28.0
91,Kiev,Odessa,36.0
92,Skopje,Pristina,36.0
93,Bilbao,Toulouse,3.2
94,Stockholm,Uppsala,32.0
95,Santander,Vitoria-Gasteiz,30.0
96,Santa Cruz de Tenerife,Seville,26.0
97,Granada,Santa Cruz de Tenerife,22.0
98,Clermont-Ferrand,Toulouse,3.2
99,Paris,Calais,26.0
100,La Coruna,Valladolid,34.0
101,Moscow,Vilnius,18.0
102,Granada,Malaga,18.0
103,Stockholm,Malmo,18.0
104,Santander,Plymouth,28.0
105,London,Plymouth,26.0
106,Kharkiv,Kiev,6.0
107,Vigo,La Coruna,4.8
108,Madrid,Valladolid,4.8
109,Copenhague,Aalborg,36.0
110,Stavanger,Bergen,4.8
111,Las Palmas de Gran Canaria,Alicante,28.0
112,Gijon,Oviedo,26.0
113,Murcia,Cartagena,36.0
114,Podgorica,Pristina,34.0
115,Odessa,Podgorica,30.0
116,Prague,Munich,34.0
117,Krakow,Olomouc,38.0
118,Berlin,Warsaw,40.0
119,Vilnius,Warsaw,30.0
120,Krakow,Vilnius,28.0
121,Copenhague,Hamburg,28.0
