Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DEUEME002,Emden - Außenhafen,61,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
TABLE NAME,COLUM NAME,COLUM NAME,COLUM NAME,,COLUM NAME,COLUM NAME,COLUM NAME,COLUM NAME,COLUM NAME,COLUM NAME,COLUM NAME,COLUM NAME,,NO INCLUIR,,,,,,
location,code,name,capacity,,latitude,longitude,responsibility,valid_from,valid_to,loading_time,unloading_time,country,,NO INCLUIR,ID,,,,,
"INSERT INTO location (code, name, capacity, latitude, longitude, responsibility, valid_from, valid_to, loading_time, unloading_time, country) VALUES",MasterCode,Name,Capacity,Stock,X,Y,responsibility,valid_from,valid_to,loading_time,unloading_time,country,,DataOrigin,0,Journey,Stop,,,
"('DEU010   B','POOL / RESERVE',2222,10.248004,51.510094,'User 1','Tuesday-10-26', 'Saturday-09-09', 3,5, 'Germany'),",DEU010   B,POOL / RESERVE,2222,2,10.248004,51.510094,User 1,2021-10-26 00:00:00,2028-09-09 00:00:00,3,5,Germany,,ORIGINAL,1,,,,,
"('DEU0111  B','GEBRAUCHTWAGEN POOL (FZG OHNE',22834,10.5288108,51.3324092,'User 2','Wednesday-04-06', 'Monday-02-10', 9,6, 'Germany'),",DEU0111  B,GEBRAUCHTWAGEN POOL (FZG OHNE,22834,5,10.5288108,51.3324092,User 2,2022-04-06 00:00:00,2025-02-10 00:00:00,9,6,Germany,,ORIGINAL,2,,,,,
"('DEU07024 L','ALIGSE F. DIREKTGESCH. ENTERPR',2000,9.9748557,52.3749334,'User 3','Monday-03-01', 'Thursday-09-02', 9,9, 'Germany'),",DEU07024 L,ALIGSE F. DIREKTGESCH. ENTERPR,2000,0,9.9748557,52.3749334,User 3,2021-03-01 00:00:00,2027-09-02 00:00:00,9,9,Germany,,ORIGINAL,3,,,,,
"('DEU110071L','Wolfsburg Autostadt',2222,10.759152,52.423458,'User 4','Thursday-04-15', 'Wednesday-09-08', 9,8, 'Germany'),",DEU110071L,Wolfsburg Autostadt,2222,484,10.759152,52.423458,User 4,2021-04-15 00:00:00,2027-09-08 00:00:00,9,8,Germany,,ORIGINAL,4,,,,,
"('DEU1120  L','WOLFSBURG AUTO 5000',0,10.7861682,52.4205588,'User 5','Sunday-09-04', 'Sunday-03-02', 3,3, 'Germany'),",DEU1120  L,WOLFSBURG AUTO 5000,0,2,10.7861682,52.4205588,User 5,2022-09-04 00:00:00,2025-03-02 00:00:00,3,3,Germany,,ORIGINAL,5,,,,,
"('DEU1162  L','NACHRUESTUNG PROD. WOB, LACK I',3000,10.759152,52.423458,'User 6','Tuesday-06-07', 'Saturday-02-03', 2,8, 'Germany'),",DEU1162  L,"NACHRUESTUNG PROD. WOB, LACK I",3000,0,10.759152,52.423458,User 6,2022-06-07 00:00:00,2029-02-03 00:00:00,2,8,Germany,,ORIGINAL,6,,,,,
"('DEU1206  L','FLUGHAFEN HANNOVER',327,9.7385532,52.3744779,'User 7','Tuesday-12-06', 'Tuesday-06-15', 4,9, 'Germany'),",DEU1206  L,FLUGHAFEN HANNOVER,327,9,9.7385532,52.3744779,User 7,2022-12-06 00:00:00,2027-06-15 00:00:00,4,9,Germany,,ORIGINAL,7,,,,,
"('DEU1299  L','SONSTIGE/DIVERSE AUSRüSTER AB',296,11.6350821,52.0794912,'User 8','Thursday-01-09', 'Tuesday-05-05', 7,1, 'Germany'),",DEU1299  L,SONSTIGE/DIVERSE AUSRüSTER AB,296,-131,11.6350821,52.0794912,User 8,2020-01-09 00:00:00,2026-05-05 00:00:00,7,1,Germany,,ORIGINAL,8,,,,,
"('DEU1401  L','Kassel',6,9.4924096,51.3154546,'User 9','Saturday-03-12', 'Wednesday-12-05', 2,8, 'Germany'),",DEU1401  L,Kassel,6,1,9.4924096,51.3154546,User 9,2022-03-12 00:00:00,2029-12-05 00:00:00,2,8,Germany,,ORIGINAL,9,,,,,
"('DEU1420  L','Kassel',2222,9.4924096,51.3154546,'User 1','Tuesday-02-18', 'Sunday-11-22', 7,5, 'Germany'),",DEU1420  L,Kassel,2222,1,9.4924096,51.3154546,User 1,2020-02-18 00:00:00,2026-11-22 00:00:00,7,5,Germany,,ORIGINAL,10,,,,,
"('DEU1504  L','Dodendorf',5000,11.6131033,52.0394254,'User 2','Thursday-05-06', 'Monday-06-08', 3,1, 'Germany'),",DEU1504  L,Dodendorf,5000,0,11.6131033,52.0394254,User 2,2021-05-06 00:00:00,2026-06-08 00:00:00,3,1,Germany,,ORIGINAL,11,,,,,
"('DEU1543  L','Gößnitz',1500,12.431532,50.889108,'User 3','Friday-11-12', 'Friday-10-16', 10,5, 'Germany'),",DEU1543  L,Gößnitz,1500,-2,12.431532,50.889108,User 3,2021-11-12 00:00:00,2026-10-16 00:00:00,10,5,Germany,,ORIGINAL,12,,,,,
"('DEU1544  L','Calden',500,9.3642196,51.3965572,'User 4','Saturday-02-05', 'Tuesday-02-08', 1,3, 'Germany'),",DEU1544  L,Calden,500,-2,9.3642196,51.3965572,User 4,2022-02-05 00:00:00,2028-02-08 00:00:00,1,3,Germany,,ORIGINAL,13,,,,,
"('DEU1702  L','SALZGITTER VERMIETER-FZ ZB 81-',0,10.3593147,52.1503721,'User 5','Sunday-01-01', 'Sunday-03-11', 4,10, 'Germany'),",DEU1702  L,SALZGITTER VERMIETER-FZ ZB 81-,0,0,10.3593147,52.1503721,User 5,2023-01-01 00:00:00,2029-03-11 00:00:00,4,10,Germany,,ORIGINAL,14,,,,,
"('DEU2120  L','Nürnberg',0,11.077298,49.453872,'User 6','Friday-09-25', 'Sunday-03-02', 10,7, 'Germany'),",DEU2120  L,Nürnberg,0,1,11.077298,49.453872,User 6,2020-09-25 00:00:00,2025-03-02 00:00:00,10,7,Germany,,ORIGINAL,15,,,,,
"('DEU2181  L','Ingolstadt',0,11.4250395,48.7630165,'User 7','Wednesday-11-25', 'Saturday-07-08', 9,3, 'Germany'),",DEU2181  L,Ingolstadt,0,2,11.4250395,48.7630165,User 7,2020-11-25 00:00:00,2028-07-08 00:00:00,9,3,Germany,,ORIGINAL,16,,,,,
"('DEU21K01 L','Neuburg Bertrandt',2222,8.22454233596518,48.98960345,'User 8','Saturday-08-06', 'Saturday-12-28', 2,1, 'Germany'),",DEU21K01 L,Neuburg Bertrandt,2222,208,8.22454233596518,48.98960345,User 8,2022-08-06 00:00:00,2030-12-28 00:00:00,2,1,Germany,,ORIGINAL,17,,,,,
"('DEU21P05 L','Faulbach',2222,9.4410898,49.7847518,'User 9','Friday-02-11', 'Monday-01-01', 8,10, 'Germany'),",DEU21P05 L,Faulbach,2222,650,9.4410898,49.7847518,User 9,2022-02-11 00:00:00,2029-01-01 00:00:00,8,10,Germany,,ORIGINAL,18,,,,,
"('DEU21P20 L','Neckarsulm-Waldenburg',2222,9.225185,49.197779,'User 1','Tuesday-01-28', 'Sunday-06-27', 9,2, 'Germany'),",DEU21P20 L,Neckarsulm-Waldenburg,2222,3,9.225185,49.197779,User 1,2020-01-28 00:00:00,2027-06-27 00:00:00,9,2,Germany,,ORIGINAL,19,,,,,
"('DEU21W46 L','Schweinfurt - Schlamminger',17,10.156244366,50.043218546,'User 2','Thursday-05-13', 'Saturday-08-14', 5,10, 'Germany'),",DEU21W46 L,Schweinfurt - Schlamminger,17,8,10.156244366,50.043218546,User 2,2021-05-13 00:00:00,2027-08-14 00:00:00,5,10,Germany,,ORIGINAL,20,,,,,
"('DEU2272  L','FRANKFURT GRIESHEIM',0,8.6058328,50.0942339,'User 3','Monday-02-14', 'Sunday-08-19', 1,10, 'Germany'),",DEU2272  L,FRANKFURT GRIESHEIM,0,0,8.6058328,50.0942339,User 3,2022-02-14 00:00:00,2029-08-19 00:00:00,1,10,Germany,,ORIGINAL,21,,,,,
