Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,142857,475
route_capacity,,,,,,,,,,285714.0,14.0
,COLUMN NAME,NO BORRAR,NO BORRAR,COLUMN NAME,COLUMN NAME,COLUMN NAME,COLUMN NAME,COLUMN NAME,ID,,
"INSERT INTO route_capacity(route_id, planed_date, transport_mode, volume, weekly_capacity, daily_capacity) VALUES",route_id,MasterCode_Origin,MasterCode_Destination,planed_date,transport_mode,volume,weekly_capacity,daily_capacity,0,,
"(564, '2024-09-17', 'Ship', 316, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-17 00:00:00,Ship,316,0,0,1,,
"(564, '2024-09-18', 'Ship', 734, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-18 00:00:00,Ship,734,0,0,2,,
"(564, '2024-09-19', 'Ship', 697, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-19 00:00:00,Ship,697,0,0,3,,
"(564, '2024-09-20', 'Ship', 710, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-20 00:00:00,Ship,710,0,0,4,,
"(564, '2024-09-21', 'Ship', 456, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-21 00:00:00,Ship,456,0,0,5,,
"(564, '2024-09-22', 'Ship', 4, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-22 00:00:00,Ship,4,0,0,6,,
"(564, '2024-09-23', 'Ship', 146, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-23 00:00:00,Ship,146,0,0,7,,
"(564, '2024-09-24', 'Ship', 647, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-24 00:00:00,Ship,647,0,0,8,,
"(564, '2024-09-25', 'Ship', 479, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-25 00:00:00,Ship,479,0,0,9,,
"(564, '2024-09-26', 'Ship', 575, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-26 00:00:00,Ship,575,0,0,10,,
"(564, '2024-09-27', 'Ship', 621, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-27 00:00:00,Ship,621,0,0,11,,
"(564, '2024-09-28', 'Ship', 383, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-28 00:00:00,Ship,383,0,0,12,,
"(564, '2024-09-30', 'Ship', 144, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-09-30 00:00:00,Ship,144,0,0,13,,
"(564, '2024-10-01', 'Ship', 386, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-01 00:00:00,Ship,386,0,0,14,,
"(564, '2024-10-02', 'Ship', 426, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-02 00:00:00,Ship,426,0,0,15,,
"(564, '2024-10-03', 'Ship', 457, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-03 00:00:00,Ship,457,0,0,16,,
"(564, '2024-10-04', 'Ship', 469, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-04 00:00:00,Ship,469,0,0,17,,
"(564, '2024-10-05', 'Ship', 522, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-05 00:00:00,Ship,522,0,0,18,,
"(564, '2024-10-07', 'Ship', 63, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-07 00:00:00,Ship,63,0,0,19,,
"(564, '2024-10-08', 'Ship', 609, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-08 00:00:00,Ship,609,0,0,20,,
"(564, '2024-10-09', 'Ship', 669, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-09 00:00:00,Ship,669,0,0,21,,
"(564, '2024-10-10', 'Ship', 694, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-10 00:00:00,Ship,694,0,0,22,,
"(564, '2024-10-11', 'Ship', 756, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-11 00:00:00,Ship,756,0,0,23,,
"(564, '2024-10-12', 'Ship', 646, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-12 00:00:00,Ship,646,0,0,24,,
"(564, '2024-10-14', 'Ship', 142, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-14 00:00:00,Ship,142,0,0,25,,
"(564, '2024-10-15', 'Ship', 623, 0, 0),",564,ZAFPLZ001,DEUEME002,2024-10-15 00:00:00,Ship,623,0,0,26,,
"(563, '2024-09-18', 'Ship', 1, 0, 0),",563,ZAFDUR001,DEUEME002,2024-09-18 00:00:00,Ship,1,0,0,27,,
"(563, '2024-09-19', 'Ship', 1, 0, 0),",563,ZAFDUR001,DEUEME002,2024-09-19 00:00:00,Ship,1,0,0,28,,
"(560, '2024-09-17', 'LKW', 4, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-17 00:00:00,LKW,4,44,6,29,,
"(561, '2024-09-17', 'Bahn', 28, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-17 00:00:00,Bahn,28,266,38,30,,
"(562, '2024-09-17', 'Bahn', 30, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-17 00:00:00,Bahn,30,277,40,31,,
"(560, '2024-09-18', 'LKW', 21, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-18 00:00:00,LKW,21,44,6,32,,
"(561, '2024-09-18', 'Bahn', 30, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-18 00:00:00,Bahn,30,266,38,33,,
"(562, '2024-09-18', 'Bahn', 50, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-18 00:00:00,Bahn,50,277,40,34,,
"(560, '2024-09-19', 'LKW', 20, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-19 00:00:00,LKW,20,44,6,35,,
"(561, '2024-09-19', 'Bahn', 22, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-19 00:00:00,Bahn,22,266,38,36,,
"(562, '2024-09-19', 'Bahn', 59, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-19 00:00:00,Bahn,59,277,40,37,,
"(560, '2024-09-20', 'LKW', 23, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-20 00:00:00,LKW,23,44,6,38,,
