TABLE NAME,COLUM NAME,COLUM NAME.1,COLUM NAME.2,COLUM NAME.3,2023-12-10 00:00:00,COLUM NAME.4,COLUM NAME.5,COLUM NAME.6,COLUM NAME.7,Unnamed: 10,COLUM NAME.8,Unnamed: 12,Unnamed: 13,Unnamed: 14,COLUM NAME.9
route,origin_id,destination_id,code_origin,code_destination,valid_from,valid_to,active,,,,comment,,,,ID
,,,,,,,,,,,,,,,
"INSERT INTO route (origin_id, destination_id, valid_from, valid_to, active, comment) VALUES",origin_id,destination_id,MasterCode_Origin,MasterCode_Destination,valid_from,valid_to,active,Name_Destination,X_Destination,country,description,COMPRO,CONCAT CODES,CONCAT ORI DEST,0
"(129, 46, 'Monday-11-27', 'Tuesday-03-18', true, 'Description Info: Route BELBRU001-DEUBRV001'),",129,46,BELBRU001,DEUBRV001,2023-11-27 00:00:00,2025-03-18 00:00:00,true,Bremerhaven - BLG,8.57301,53.57832,Description Info: Route BELBRU001-DEUBRV001,OK,129 46,BELBRU001 DEUBRV001,1
"(129, 49, 'Wednesday-02-02', 'Tuesday-07-01', true, 'Description Info: Route BELBRU001-DEUCAN001'),",129,49,BELBRU001,DEUCAN001,2022-02-02 00:00:00,2025-07-01 00:00:00,true,Calden - DP Trading,9.37583,51.40303,Description Info: Route BELBRU001-DEUCAN001,OK,129 49,BELBRU001 DEUCAN001,2
"(129, 50, 'Sunday-12-24', 'Thursday-01-15', true, 'Description Info: Route BELBRU001-DEUCUX001'),",129,50,BELBRU001,DEUCUX001,2023-12-24 00:00:00,2026-01-15 00:00:00,true,Cuxhaven - Cuxport,8.72052989999999,53.86237085,Description Info: Route BELBRU001-DEUCUX001,OK,129 50,BELBRU001 DEUCUX001,3
"(129, 52, 'Sunday-08-14', 'Saturday-07-11', true, 'Description Info: Route BELBRU001-DEUDAR001'),",129,52,BELBRU001,DEUDAR001,2022-08-14 00:00:00,2026-07-11 00:00:00,true,Darmstadt - R+H,8.62598,49.88216,Description Info: Route BELBRU001-DEUDAR001,OK,129 52,BELBRU001 DEUDAR001,4
"(129, 61, 'Saturday-01-22', 'Sunday-03-09', true, 'Description Info: Route BELBRU001-DEUEME002'),",129,61,BELBRU001,DEUEME002,2022-01-22 00:00:00,2025-03-09 00:00:00,true,Emden - AuÃŸenhafen,7.17683,53.33672,Description Info: Route BELBRU001-DEUEME002,OK,129 61,BELBRU001 DEUEME002,5
"(129, 66, 'Wednesday-01-19', 'Saturday-11-29', true, 'Description Info: Route BELBRU001-DEUESS001'),",129,66,BELBRU001,DEUESS001,2022-01-19 00:00:00,2025-11-29 00:00:00,true,Essen - Helf,7.02835,51.4988,Description Info: Route BELBRU001-DEUESS001,OK,129 66,BELBRU001 DEUESS001,6
"(129, 67, 'Wednesday-02-02', 'Monday-12-30', true, 'Description Info: Route BELBRU001-DEUFAB001'),",129,67,BELBRU001,DEUFAB001,2022-02-02 00:00:00,2024-12-30 00:00:00,true,Wolfsburg - MLW Fallersleben,10.69512,52.42378,Description Info: Route BELBRU001-DEUFAB001,OK,129 67,BELBRU001 DEUFAB001,7
"(129, 68, 'Sunday-02-20', 'Saturday-04-19', true, 'Description Info: Route BELBRU001-DEUFLB001'),",129,68,BELBRU001,DEUFLB001,2022-02-20 00:00:00,2025-04-19 00:00:00,true,Faulbach - Roos,9.4626,49.77302,Description Info: Route BELBRU001-DEUFLB001,OK,129 68,BELBRU001 DEUFLB001,8
"(129, 70, 'Saturday-10-15', 'Thursday-03-12', true, 'Description Info: Route BELBRU001-DEUGHU001'),",129,70,BELBRU001,DEUGHU001,2022-10-15 00:00:00,2026-03-12 00:00:00,true,Glauchau - SAT (Mosolf),12.54086,50.82872,Description Info: Route BELBRU001-DEUGHU001,OK,129 70,BELBRU001 DEUGHU001,9
"(129, 79, 'Monday-07-03', 'Saturday-04-26', true, 'Description Info: Route BELBRU001-DEUHAM001'),",129,79,BELBRU001,DEUHAM001,2023-07-03 00:00:00,2025-04-26 00:00:00,true,Hamburg - BLG,9.94394,53.50578,Description Info: Route BELBRU001-DEUHAM001,OK,129 79,BELBRU001 DEUHAM001,10
"(129, 80, 'Monday-03-27', 'Wednesday-01-10', true, 'Description Info: Route BELBRU001-DEUHAM002'),",129,80,BELBRU001,DEUHAM002,2023-03-27 00:00:00,2024-01-10 00:00:00,true,Hamburg - Unikai,10.01193,53.52747,Description Info: Route BELBRU001-DEUHAM002,OK,129 80,BELBRU001 DEUHAM002,11
