TABLE NAME,COLUM NAME,COLUM NAME.1,COLUM NAME.2,Unnamed: 4,Unnamed: 5,Unnamed: 6,COLUM NAME.3,Unnamed: 8
location_stock,,,,DE LOCATION,DE LOCATION,CALCULADO,,
,,,,,,,,
"INSERT INTO location_stock(location_id, quantity, stock_date) VALUES",location_id,quantity,stock_date,MasterCode,Capacity,Break,quantity,Date
"(1, 29, 'Tuesday-09-17'),",1,29,2024-09-17 00:00:00,DEU010   B,2222,0,29,2024-09-17 00:00:00
"(2, 5, 'Tuesday-09-17'),",2,5,2024-09-17 00:00:00,DEU0111  B,22834,0,5,2024-09-17 00:00:00
"(3, 0, 'Tuesday-09-17'),",3,0,2024-09-17 00:00:00,DEU07024 L,2000,0,0,2024-09-17 00:00:00
"(4, 484, 'Tuesday-09-17'),",4,484,2024-09-17 00:00:00,DEU110071L,2222,0,484,2024-09-17 00:00:00
"(5, 2, 'Tuesday-09-17'),",5,2,2024-09-17 00:00:00,DEU1120  L,0,1,2,2024-09-17 00:00:00
"(6, 0, 'Tuesday-09-17'),",6,0,2024-09-17 00:00:00,DEU1162  L,3000,0,0,2024-09-17 00:00:00
"(7, 9, 'Tuesday-09-17'),",7,9,2024-09-17 00:00:00,DEU1206  L,327,0,9,2024-09-17 00:00:00
"(8, -131, 'Tuesday-09-17'),",8,-131,2024-09-17 00:00:00,DEU1299  L,296,0,-131,2024-09-17 00:00:00
"(9, 1, 'Tuesday-09-17'),",9,1,2024-09-17 00:00:00,DEU1401  L,6,0,1,2024-09-17 00:00:00
"(10, 1, 'Tuesday-09-17'),",10,1,2024-09-17 00:00:00,DEU1420  L,2222,0,1,2024-09-17 00:00:00
"(11, 0, 'Tuesday-09-17'),",11,0,2024-09-17 00:00:00,DEU1504  L,5000,0,0,2024-09-17 00:00:00
"(12, -2, 'Tuesday-09-17'),",12,-2,2024-09-17 00:00:00,DEU1543  L,1500,0,-2,2024-09-17 00:00:00
"(13, -2, 'Tuesday-09-17'),",13,-2,2024-09-17 00:00:00,DEU1544  L,500,0,-2,2024-09-17 00:00:00
"(14, 0, 'Tuesday-09-17'),",14,0,2024-09-17 00:00:00,DEU1702  L,0,0,0,2024-09-17 00:00:00
"(15, 1, 'Tuesday-09-17'),",15,1,2024-09-17 00:00:00,DEU2120  L,0,1,1,2024-09-17 00:00:00
"(16, 2, 'Tuesday-09-17'),",16,2,2024-09-17 00:00:00,DEU2181  L,0,1,2,2024-09-17 00:00:00
"(17, 208, 'Tuesday-09-17'),",17,208,2024-09-17 00:00:00,DEU21K01 L,2222,0,208,2024-09-17 00:00:00
"(18, 650, 'Tuesday-09-17'),",18,650,2024-09-17 00:00:00,DEU21P05 L,2222,0,650,2024-09-17 00:00:00
"(19, 3, 'Tuesday-09-17'),",19,3,2024-09-17 00:00:00,DEU21P20 L,2222,0,3,2024-09-17 00:00:00
"(20, 8, 'Tuesday-09-17'),",20,8,2024-09-17 00:00:00,DEU21W46 L,17,0,8,2024-09-17 00:00:00
"(21, 0, 'Tuesday-09-17'),",21,0,2024-09-17 00:00:00,DEU2272  L,0,0,0,2024-09-17 00:00:00
"(22, 668, 'Tuesday-09-17'),",22,668,2024-09-17 00:00:00,DEU22P10 L,2222,0,668,2024-09-17 00:00:00
"(23, 407, 'Tuesday-09-17'),",23,407,2024-09-17 00:00:00,DEU22P46 L,2222,0,407,2024-09-17 00:00:00
"(24, -36, 'Tuesday-09-17'),",24,-36,2024-09-17 00:00:00,DEU22P69 L,366,0,-36,2024-09-17 00:00:00
"(25, 2, 'Tuesday-09-17'),",25,2,2024-09-17 00:00:00,DEU240   B,2000,0,2,2024-09-17 00:00:00
"(26, 7, 'Tuesday-09-17'),",26,7,2024-09-17 00:00:00,DEU340   B,8,0,7,2024-09-17 00:00:00
"(27, 1, 'Tuesday-09-17'),",27,1,2024-09-17 00:00:00,DEU3799  L,5000,0,1,2024-09-17 00:00:00
"(28, 182, 'Tuesday-09-17'),",28,182,2024-09-17 00:00:00,DEU520   N,420,0,182,2024-09-17 00:00:00
"(29, 0, 'Tuesday-09-17'),",29,0,2024-09-17 00:00:00,DEU530   N,3000,0,0,2024-09-17 00:00:00
"(30, 6, 'Tuesday-09-17'),",30,6,2024-09-17 00:00:00,DEU620   B,8,0,6,2024-09-17 00:00:00
"(31, 0, 'Tuesday-09-17'),",31,0,2024-09-17 00:00:00,DEU620   N,3000,0,0,2024-09-17 00:00:00
"(32, 0, 'Tuesday-09-17'),",32,0,2024-09-17 00:00:00,DEU68024 L,2000,0,0,2024-09-17 00:00:00
"(33, -535, 'Tuesday-09-17'),",33,-535,2024-09-17 00:00:00,DEU700Y  H,2000,0,-535,2024-09-17 00:00:00
"(34, 168, 'Tuesday-09-17'),",34,168,2024-09-17 00:00:00,DEU7071  H,3500,0,168,2024-09-17 00:00:00
"(35, 0, 'Tuesday-09-17'),",35,0,2024-09-17 00:00:00,DEU70DUE L,0,0,0,2024-09-17 00:00:00
"(36, 1411, 'Tuesday-09-17'),",36,1411,2024-09-17 00:00:00,DEU780   B,2500,0,1411,2024-09-17 00:00:00
"(37, 0, 'Tuesday-09-17'),",37,0,2024-09-17 00:00:00,DEU78055 L,2500,0,0,2024-09-17 00:00:00
"(38, 160, 'Tuesday-09-17'),",38,160,2024-09-17 00:00:00,DEU790   B,314,0,160,2024-09-17 00:00:00
"(39, 0, 'Tuesday-09-17'),",39,0,2024-09-17 00:00:00,DEU81024 L,2000,0,0,2024-09-17 00:00:00
"(40, 0, 'Tuesday-09-17'),",40,0,2024-09-17 00:00:00,DEU83024 L,2000,0,0,2024-09-17 00:00:00
"(41, 12152, 'Tuesday-09-17'),",41,12152,2024-09-17 00:00:00,DEU850   B,13368,0,12152,2024-09-17 00:00:00
"(42, 0, 'Tuesday-09-17'),",42,0,2024-09-17 00:00:00,DEU85016 L,0,0,0,2024-09-17 00:00:00
"(43, 605, 'Tuesday-09-17'),",43,605,2024-09-17 00:00:00,DEUBIE001,500,1,605,2024-09-17 00:00:00
"(44, 0, 'Tuesday-09-17'),",44,0,2024-09-17 00:00:00,DEUBRE001,0,0,0,2024-09-17 00:00:00
"(45, 0, 'Tuesday-09-17'),",45,0,2024-09-17 00:00:00,DEUBRE002,0,0,0,2024-09-17 00:00:00
"(46, 5533, 'Tuesday-09-17'),",46,5533,2024-09-17 00:00:00,DEUBRV001,22254,0,5533,2024-09-17 00:00:00
"(47, -1751, 'Tuesday-09-17'),",47,-1751,2024-09-17 00:00:00,DEUBRV002,2191,0,-1751,2024-09-17 00:00:00
"(48, 136, 'Tuesday-09-17'),",48,136,2024-09-17 00:00:00,DEUBTL001,2528,0,136,2024-09-17 00:00:00
"(49, 1335, 'Tuesday-09-17'),",49,1335,2024-09-17 00:00:00,DEUCAN001,1971,0,1335,2024-09-17 00:00:00
"(50, 185, 'Tuesday-09-17'),",50,185,2024-09-17 00:00:00,DEUCUX001,3000,0,185,2024-09-17 00:00:00
"(51, 812, 'Tuesday-09-17'),",51,812,2024-09-17 00:00:00,DEUCUX002,3000,0,812,2024-09-17 00:00:00
"(52, 1819, 'Tuesday-09-17'),",52,1819,2024-09-17 00:00:00,DEUDAR001,3200,0,1819,2024-09-17 00:00:00
"(53, 0, 'Tuesday-09-17'),",53,0,2024-09-17 00:00:00,DEUDAR002,0,0,0,2024-09-17 00:00:00
"(54, 0, 'Tuesday-09-17'),",54,0,2024-09-17 00:00:00,DEUDD    K,3000,0,0,2024-09-17 00:00:00
"(55, 5396, 'Tuesday-09-17'),",55,5396,2024-09-17 00:00:00,DEUDRS001,8056,0,5396,2024-09-17 00:00:00
"(56, 0, 'Tuesday-09-17'),",56,0,2024-09-17 00:00:00,DEUDUE001,0,0,0,2024-09-17 00:00:00
"(57, 1925, 'Tuesday-09-17'),",57,1925,2024-09-17 00:00:00,DEUDUI001,4014,0,1925,2024-09-17 00:00:00
"(58, 14, 'Tuesday-09-17'),",58,14,2024-09-17 00:00:00,DEUEGI001,2222,0,14,2024-09-17 00:00:00
"(59, 0, 'Tuesday-09-17'),",59,0,2024-09-17 00:00:00,DEUEMD   L,3000,0,0,2024-09-17 00:00:00
"(60, 12234, 'Tuesday-09-17'),",60,12234,2024-09-17 00:00:00,DEUEME001,11619,1,12234,2024-09-17 00:00:00
