CODE_Origin,CODE_Destination,Dates,Transport_Mode,Distributor,Volume
Almacen 1037,Almacen 642,2024-03-19,-,No Data,739.0
Almacen 1037,Almacen 642,2024-03-20,-,No Data,956.0
Almacen 1037,Almacen 642,2024-03-21,-,No Data,430.0
Almacen 1037,Almacen 642,2024-03-22,-,No Data,337.0
Almacen 1037,Almacen 642,2024-03-23,-,No Data,222.0
Almacen 1037,Almacen 642,2024-03-24,-,No Data,178.0
Almacen 1037,Almacen 642,2024-03-25,-,No Data,17.0
Almacen 1037,Almacen 642,2024-03-26,-,No Data,8.0
Almacen 1037,Almacen 642,2024-03-27,-,No Data,143.0
Almacen 1037,Almacen 642,2024-03-28,-,No Data,113.0
Almacen 1037,Almacen 642,2024-03-29,-,No Data,119.0
Almacen 1037,Almacen 642,2024-03-30,-,No Data,13.0
Almacen 1037,Almacen 642,2024-03-31,-,No Data,1.0
Almacen 1037,Almacen 642,2024-04-02,-,No Data,10.0
Almacen 1037,Almacen 642,2024-04-03,-,No Data,16.0
Almacen 1037,Almacen 642,2024-04-04,-,No Data,4.0
Almacen 1037,Almacen 642,2024-04-10,-,No Data,184.0
Almacen 1037,Almacen 642,2024-04-11,-,No Data,158.0
Almacen 1037,Almacen 642,2024-04-12,-,No Data,150.0
Almacen 1037,Almacen 642,2024-04-13,-,No Data,135.0
Almacen 1037,Almacen 642,2024-04-14,-,No Data,112.0
Almacen 1037,Almacen 642,2024-04-16,-,No Data,3.0
Almacen 1037,Almacen 642,2024-04-17,-,No Data,136.0
Almacen 1037,Almacen 642,2024-04-18,-,No Data,114.0
Almacen 1037,Almacen 642,2024-04-19,-,No Data,133.0
Almacen 1037,Almacen 642,2024-04-20,-,No Data,68.0
Almacen 1037,Almacen 642,2024-04-21,-,No Data,74.0
Almacen 1037,Almacen 642,2024-04-23,-,No Data,2.0
Almacen 1037,Almacen 642,2024-04-24,-,No Data,68.0
Almacen 1037,Almacen 642,2024-04-25,-,No Data,89.0
Almacen 1037,Almacen 642,2024-04-26,-,No Data,93.0
Almacen 1037,Almacen 642,2024-04-27,-,No Data,65.0
Almacen 1099,Almacen 642,2024-03-21,-,No Data,4.0
Almacen 1099,Almacen 642,2024-03-22,-,No Data,13.0
Almacen 1099,Almacen 642,2024-03-23,-,No Data,131.0
Almacen 1099,Almacen 642,2024-03-24,-,No Data,66.0
Almacen 1099,Almacen 642,2024-03-25,-,No Data,38.0
Almacen 1099,Almacen 642,2024-03-26,-,No Data,61.0
Almacen 1099,Almacen 642,2024-03-27,-,No Data,10.0
Almacen 1099,Almacen 642,2024-03-28,-,No Data,10.0
Almacen 1099,Almacen 642,2024-03-29,-,No Data,52.0
Almacen 1099,Almacen 642,2024-03-30,-,No Data,54.0
Almacen 1099,Almacen 642,2024-03-31,-,No Data,42.0
Almacen 1099,Almacen 642,2024-04-01,-,No Data,45.0
Almacen 1099,Almacen 642,2024-04-02,-,No Data,52.0
Almacen 1099,Almacen 642,2024-04-03,-,No Data,6.0
Almacen 1099,Almacen 642,2024-04-04,-,No Data,2.0
Almacen 1099,Almacen 642,2024-04-05,-,No Data,45.0
Almacen 1099,Almacen 642,2024-04-06,-,No Data,33.0
Almacen 1099,Almacen 642,2024-04-07,-,No Data,52.0
Almacen 1099,Almacen 642,2024-04-08,-,No Data,45.0
Almacen 1099,Almacen 642,2024-04-09,-,No Data,57.0
Almacen 1099,Almacen 642,2024-04-11,-,No Data,1.0
Almacen 1099,Almacen 642,2024-04-12,-,No Data,48.0
Almacen 1099,Almacen 642,2024-04-13,-,No Data,66.0
Almacen 1099,Almacen 642,2024-04-14,-,No Data,62.0
Almacen 1099,Almacen 642,2024-04-15,-,No Data,28.0
Almacen 1099,Almacen 642,2024-04-16,-,No Data,25.0
Almacen 1099,Almacen 642,2024-04-17,-,No Data,1.0
Almacen 1099,Almacen 642,2024-04-19,-,No Data,20.0
Almacen 1099,Almacen 642,2024-04-20,-,No Data,3.0
Almacen 1099,Almacen 642,2024-04-21,-,No Data,2.0
Almacen 1099,Almacen 642,2024-04-22,-,No Data,2.0
Almacen 1099,Almacen 642,2024-04-23,-,No Data,1.0
Almacen 1099,Almacen 642,2024-04-25,-,No Data,1.0
Almacen 1099,Almacen 642,2024-04-26,-,No Data,2.0
Almacen 1099,Almacen 642,2024-04-27,-,No Data,3.0
Almacen 1099,Almacen 642,2024-04-28,-,No Data,4.0
Almacen 1099,Almacen 642,2024-04-30,-,No Data,1.0
Almacen 1135,Almacen 622,2024-03-21,Tren,Distribuidor 13,82.0
Almacen 1135,Almacen 622,2024-03-22,Tren,Distribuidor 13,121.0
Almacen 1135,Almacen 622,2024-03-23,Tren,Distribuidor 13,61.0
