CODE_Origin,CODE_Destination,Date,Transport_Mode,Volume,Capacity,Daily_Capacity
Almacen 260,Almacen 622,2024-03-21,Tren,13.0,67.0,10.0
Almacen 260,Almacen 622,2024-03-21,Camion,1.0,25.0,4.0
Almacen 260,Almacen 622,2024-03-22,Tren,5.0,67.0,10.0
Almacen 260,Almacen 622,2024-03-22,Camion,1.0,25.0,4.0
Almacen 260,Almacen 622,2024-03-23,Tren,2.0,67.0,10.0
Almacen 260,Almacen 622,2024-03-24,Tren,1.0,67.0,10.0
Almacen 260,Almacen 622,2024-03-27,Tren,2.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-13,Tren,6.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-13,Camion,1.0,25.0,4.0
Almacen 260,Almacen 622,2024-04-14,Tren,8.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-14,Camion,1.0,25.0,4.0
Almacen 260,Almacen 622,2024-04-17,Tren,13.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-17,Camion,1.0,25.0,4.0
Almacen 260,Almacen 622,2024-04-18,Tren,3.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-19,Tren,3.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-20,Tren,4.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-21,Tren,2.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-24,Tren,3.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-26,Tren,4.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-27,Tren,4.0,67.0,10.0
Almacen 260,Almacen 622,2024-04-28,Tren,2.0,67.0,10.0
Almacen 260,Almacen 625,2024-04-14,-,1.0,44.0,6.0
Almacen 260,Almacen 625,2024-04-18,-,1.0,44.0,6.0
Almacen 260,Almacen 625,2024-04-26,-,1.0,44.0,6.0
Almacen 260,Almacen 626,2024-03-22,-,1.0,14.0,2.0
Almacen 260,Almacen 626,2024-04-14,-,1.0,14.0,2.0
Almacen 260,Almacen 626,2024-04-17,-,3.0,14.0,2.0
Almacen 260,Almacen 626,2024-04-19,-,1.0,14.0,2.0
Almacen 260,Almacen 626,2024-04-26,-,1.0,14.0,2.0
Almacen 260,Almacen 628,2024-03-21,-,8.0,110.0,16.0
Almacen 260,Almacen 628,2024-03-22,-,2.0,110.0,16.0
Almacen 260,Almacen 628,2024-03-24,-,2.0,110.0,16.0
Almacen 260,Almacen 628,2024-04-13,-,1.0,110.0,16.0
Almacen 260,Almacen 628,2024-04-14,-,2.0,110.0,16.0
Almacen 260,Almacen 628,2024-04-17,-,2.0,110.0,16.0
