CODE,Stock,Capacity,LoadCapacity,UnloadCapacity,Capacity_Flag,Stock_Flag
Almacen 0,12.0,14.0,500.0,1.0,H,H
Almacen 1,106.0,117.0,500.0,15.0,H,H
Almacen 2,11.0,13.0,500.0,2.0,H,H
Almacen 3,24.0,27.0,500.0,11.0,H,H
Almacen 4,34.0,38.0,500.0,13.0,H,H
Almacen 5,1.0,2.0,500.0,1.0,H,H
Almacen 6,58.0,64.0,500.0,8.0,H,H
Almacen 7,9.0,10.0,500.0,5.0,H,H
Almacen 8,4.0,5.0,500.0,1.0,H,H
Almacen 9,32.0,36.0,500.0,4.0,H,H
Almacen 10,15.0,17.0,500.0,4.0,H,H
Almacen 11,4.0,5.0,500.0,2.0,H,H
Almacen 12,13.0,15.0,500.0,5.0,H,H
Almacen 13,1.0,2.0,500.0,1.0,H,H
Almacen 14,2.0,3.0,500.0,2.0,H,H
Almacen 15,2.0,3.0,500.0,2.0,H,H
Almacen 16,2.0,3.0,500.0,2.0,H,H
Almacen 17,1.0,2.0,500.0,1.0,H,H
Almacen 18,2.0,3.0,500.0,2.0,H,H
Almacen 19,1.0,2.0,500.0,1.0,H,H
Almacen 20,1.0,2.0,500.0,1.0,H,H
Almacen 21,1.0,2.0,500.0,1.0,H,H
Almacen 22,1.0,2.0,500.0,1.0,H,H
Almacen 23,1.0,2.0,500.0,1.0,H,H
Almacen 24,2.0,3.0,500.0,2.0,H,H
Almacen 25,1.0,2.0,500.0,1.0,H,H
Almacen 26,2.0,3.0,500.0,2.0,H,H
Almacen 27,4.0,5.0,500.0,4.0,H,H
Almacen 28,3.0,4.0,500.0,3.0,H,H
Almacen 29,1.0,2.0,500.0,1.0,H,H
Almacen 30,1.0,2.0,500.0,1.0,H,H
Almacen 31,2.0,3.0,500.0,2.0,H,H
Almacen 32,4.0,5.0,500.0,4.0,H,H
Almacen 33,5.0,6.0,500.0,3.0,H,H
Almacen 34,1.0,2.0,500.0,1.0,H,H
Almacen 35,4.0,5.0,500.0,4.0,H,H
Almacen 36,4.0,5.0,500.0,2.0,H,H
Almacen 37,2.0,3.0,500.0,2.0,H,H
Almacen 38,1.0,2.0,500.0,1.0,H,H
Almacen 39,1.0,2.0,500.0,1.0,H,H
Almacen 40,1.0,2.0,500.0,1.0,H,H
Almacen 41,2.0,3.0,500.0,2.0,H,H
Almacen 42,1.0,2.0,500.0,1.0,H,H
Almacen 43,3.0,4.0,500.0,3.0,H,H
Almacen 44,1.0,2.0,500.0,1.0,H,H
Almacen 45,2.0,3.0,500.0,2.0,H,H
Almacen 46,3.0,4.0,500.0,3.0,H,H
Almacen 47,1.0,2.0,500.0,1.0,H,H
Almacen 48,1.0,2.0,500.0,1.0,H,H
Almacen 49,1.0,2.0,500.0,1.0,H,H
Almacen 50,1.0,2.0,500.0,1.0,H,H
Almacen 51,2.0,3.0,500.0,2.0,H,H
Almacen 52,2.0,3.0,500.0,2.0,H,H
Almacen 53,2.0,3.0,500.0,2.0,H,H
Almacen 54,3.0,4.0,500.0,3.0,H,H
Almacen 55,1.0,2.0,500.0,1.0,H,H
