,CODE,Stock,Capacity,LoadCapacity,UnloadCapacity,Capacity_Flag,Stock_Flag,latitude,longitude
1,Almacen 1,106.0,117.0,500.0,15.0,H,H,43.275493907158705,4.033418153218745
2,Almacen 2,11.0,13.0,500.0,2.0,H,H,43.112602666539814,-0.5045685096668091
3,Almacen 3,24.0,27.0,500.0,11.0,H,H,37.95213679203033,0.3605616669287883
4,Almacen 4,34.0,38.0,500.0,13.0,H,H,38.80815772902906,-2.4192053835941962
5,Almacen 5,1.0,2.0,500.0,1.0,H,H,36.18529973847297,-7.3473084256986745
6,Almacen 6,58.0,64.0,500.0,8.0,H,H,43.656473200737736,-6.336458902295199
7,Almacen 7,9.0,10.0,500.0,5.0,H,H,40.99939987006027,-3.3310955554307045
8,Almacen 8,4.0,5.0,500.0,1.0,H,H,41.58732952304942,-2.2573122501562004
9,Almacen 9,32.0,36.0,500.0,4.0,H,H,37.823535600400184,-6.262171490742711
10,Almacen 10,15.0,17.0,500.0,4.0,H,H,38.17056420304156,-8.936315248957232
11,Almacen 11,4.0,5.0,500.0,2.0,H,H,42.26712401234001,-6.765243890924523
12,Almacen 12,13.0,15.0,500.0,5.0,H,H,39.77833320869516,-7.775027270841504
13,Almacen 13,1.0,2.0,500.0,1.0,H,H,40.582710061908614,-2.259077080544225
14,Almacen 14,2.0,3.0,500.0,2.0,H,H,40.69238619804506,-5.691216287232871
15,Almacen 15,2.0,3.0,500.0,2.0,H,H,36.59787050649292,-5.401205935103433
16,Almacen 16,2.0,3.0,500.0,2.0,H,H,37.21598686787166,3.442537539600888
17,Almacen 17,1.0,2.0,500.0,1.0,H,H,43.00195310497171,-6.322336040261183
18,Almacen 18,2.0,3.0,500.0,2.0,H,H,38.49737609699852,-1.4189425163977232
19,Almacen 19,1.0,2.0,500.0,1.0,H,H,37.327042893152,-1.869289025707876
20,Almacen 20,1.0,2.0,500.0,1.0,H,H,40.743104624282466,1.1561920648585637
21,Almacen 21,1.0,2.0,500.0,1.0,H,H,41.20322090455222,-0.6025623493740007
22,Almacen 22,1.0,2.0,500.0,1.0,H,H,43.353533667767884,-5.374175421424609
23,Almacen 23,1.0,2.0,500.0,1.0,H,H,37.682779348386596,0.541385810659504
24,Almacen 24,2.0,3.0,500.0,2.0,H,H,40.58752295345448,-0.8491637742093463
25,Almacen 25,1.0,2.0,500.0,1.0,H,H,38.89038602149361,-0.579056523761464
26,Almacen 26,2.0,3.0,500.0,2.0,H,H,42.972366048058475,0.5431523632370556
27,Almacen 27,4.0,5.0,500.0,4.0,H,H,42.201881763154674,-4.0927024853977505
28,Almacen 28,3.0,4.0,500.0,3.0,H,H,37.87367522451557,-1.7504954294394732
29,Almacen 29,1.0,2.0,500.0,1.0,H,H,41.64078627643855,2.2136376925174943
30,Almacen 30,1.0,2.0,500.0,1.0,H,H,41.4825056504027,-3.709397519292975
31,Almacen 31,2.0,3.0,500.0,2.0,H,H,40.443924037129634,-3.9677464353417395
32,Almacen 32,4.0,5.0,500.0,4.0,H,H,40.45372045905215,-8.987959615357267
