CODE_Origin,CODE_Destination
Almacen 252,Almacen 642
Almacen 252,Almacen 676
Almacen 260,Almacen 442
Almacen 260,Almacen 445
Almacen 260,Almacen 622
Almacen 260,Almacen 625
Almacen 260,Almacen 626
Almacen 260,Almacen 627
Almacen 260,Almacen 628
Almacen 260,Almacen 641
Almacen 260,Almacen 642
Almacen 260,Almacen 643
Almacen 260,Almacen 647
Almacen 260,Almacen 649
Almacen 260,Almacen 651
Almacen 260,Almacen 652
Almacen 260,Almacen 653
Almacen 260,Almacen 663
Almacen 260,Almacen 664
Almacen 260,Almacen 669
Almacen 260,Almacen 671
Almacen 260,Almacen 676
Almacen 260,Almacen 677
Almacen 260,Almacen 680
Almacen 260,Almacen 683
Almacen 260,Almacen 685
Almacen 260,Almacen 691
Almacen 260,Almacen 694
Almacen 260,Almacen 695
Almacen 260,Almacen 697
Almacen 260,Almacen 708
Almacen 260,Almacen 709
Almacen 260,Almacen 711
Almacen 260,Almacen 728
Almacen 260,Almacen 730
Almacen 264,Almacen 622
Almacen 264,Almacen 625
Almacen 264,Almacen 627
Almacen 264,Almacen 628
Almacen 264,Almacen 642
Almacen 264,Almacen 647
Almacen 264,Almacen 649
Almacen 264,Almacen 651
Almacen 264,Almacen 653
Almacen 264,Almacen 663
Almacen 264,Almacen 664
Almacen 264,Almacen 669
Almacen 264,Almacen 676
Almacen 264,Almacen 680
Almacen 264,Almacen 683
Almacen 264,Almacen 691
Almacen 264,Almacen 694
Almacen 264,Almacen 695
Almacen 264,Almacen 697
Almacen 264,Almacen 728
Almacen 381,Almacen 619
Almacen 381,Almacen 627
Almacen 381,Almacen 636
Almacen 381,Almacen 652
Almacen 381,Almacen 721
Almacen 383,Almacen 619
Almacen 383,Almacen 636
Almacen 383,Almacen 642
Almacen 383,Almacen 653
Almacen 383,Almacen 663
Almacen 383,Almacen 708
Almacen 383,Almacen 721
Almacen 385,Almacen 642
Almacen 387,Almacen 453
Almacen 387,Almacen 619
Almacen 387,Almacen 636
Almacen 387,Almacen 642
Almacen 387,Almacen 652
Almacen 387,Almacen 653
Almacen 387,Almacen 655
Almacen 387,Almacen 669
Almacen 387,Almacen 680
Almacen 387,Almacen 691
Almacen 387,Almacen 694
Almacen 387,Almacen 721
Almacen 390,Almacen 642
Almacen 397,Almacen 619
Almacen 397,Almacen 642
Almacen 397,Almacen 653
Almacen 397,Almacen 708
Almacen 397,Almacen 721
Almacen 398,Almacen 453
Almacen 398,Almacen 627
Almacen 398,Almacen 636
Almacen 398,Almacen 642
Almacen 398,Almacen 643
Almacen 398,Almacen 652
Almacen 398,Almacen 653
Almacen 398,Almacen 669
Almacen 398,Almacen 680
Almacen 398,Almacen 682
Almacen 398,Almacen 721
Almacen 399,Almacen 453
Almacen 399,Almacen 619
Almacen 399,Almacen 627
Almacen 399,Almacen 636
Almacen 399,Almacen 642
Almacen 399,Almacen 643
Almacen 399,Almacen 652
Almacen 399,Almacen 653
Almacen 399,Almacen 655
Almacen 399,Almacen 663
Almacen 399,Almacen 669
Almacen 399,Almacen 680
Almacen 399,Almacen 682
Almacen 399,Almacen 691
Almacen 399,Almacen 694
Almacen 399,Almacen 706
Almacen 399,Almacen 721
Almacen 403,Almacen 619
Almacen 403,Almacen 627
Almacen 403,Almacen 636
Almacen 403,Almacen 642
Almacen 403,Almacen 652
Almacen 403,Almacen 653
Almacen 403,Almacen 655
Almacen 403,Almacen 663
Almacen 403,Almacen 669
Almacen 403,Almacen 680
Almacen 403,Almacen 682
Almacen 403,Almacen 691
Almacen 403,Almacen 706
Almacen 403,Almacen 721
Almacen 403,Almacen 730
Almacen 405,Almacen 642
Almacen 405,Almacen 643
Almacen 406,Almacen 642
Almacen 408,Almacen 642
Almacen 408,Almacen 682
Almacen 408,Almacen 694
Almacen 408,Almacen 728
Almacen 410,Almacen 619
Almacen 410,Almacen 627
Almacen 410,Almacen 636
Almacen 410,Almacen 642
Almacen 410,Almacen 652
Almacen 410,Almacen 653
Almacen 410,Almacen 655
Almacen 410,Almacen 663
Almacen 410,Almacen 669
Almacen 410,Almacen 680
Almacen 410,Almacen 691
Almacen 410,Almacen 694
Almacen 410,Almacen 721
Almacen 411,Almacen 619
Almacen 411,Almacen 627
Almacen 411,Almacen 636
Almacen 411,Almacen 642
Almacen 411,Almacen 643
Almacen 411,Almacen 652
Almacen 411,Almacen 669
Almacen 411,Almacen 680
Almacen 411,Almacen 691
Almacen 411,Almacen 694
Almacen 416,Almacen 642
Almacen 419,Almacen 453
Almacen 419,Almacen 619
Almacen 419,Almacen 627
Almacen 419,Almacen 636
Almacen 419,Almacen 642
Almacen 419,Almacen 652
Almacen 419,Almacen 653
Almacen 419,Almacen 655
Almacen 419,Almacen 663
Almacen 419,Almacen 664
Almacen 419,Almacen 669
Almacen 419,Almacen 680
Almacen 419,Almacen 682
Almacen 419,Almacen 691
Almacen 419,Almacen 694
Almacen 419,Almacen 695
Almacen 419,Almacen 706
Almacen 419,Almacen 721
Almacen 419,Almacen 728
Almacen 419,Almacen 730
Almacen 423,Almacen 642
Almacen 423,Almacen 643
Almacen 433,Almacen 441
Almacen 433,Almacen 453
Almacen 433,Almacen 526
Almacen 433,Almacen 619
Almacen 433,Almacen 622
Almacen 433,Almacen 627
Almacen 433,Almacen 636
Almacen 433,Almacen 642
Almacen 433,Almacen 643
Almacen 433,Almacen 652
Almacen 433,Almacen 653
Almacen 433,Almacen 655
Almacen 433,Almacen 663
Almacen 433,Almacen 664
Almacen 433,Almacen 669
Almacen 433,Almacen 680
Almacen 433,Almacen 682
Almacen 433,Almacen 683
Almacen 433,Almacen 691
Almacen 433,Almacen 694
Almacen 433,Almacen 695
Almacen 433,Almacen 706
Almacen 433,Almacen 708
Almacen 433,Almacen 709
Almacen 433,Almacen 721
Almacen 433,Almacen 728
Almacen 433,Almacen 730
Almacen 434,Almacen 453
Almacen 434,Almacen 619
Almacen 434,Almacen 622
Almacen 434,Almacen 627
Almacen 434,Almacen 628
Almacen 434,Almacen 636
Almacen 434,Almacen 642
Almacen 434,Almacen 643
Almacen 434,Almacen 652
Almacen 434,Almacen 653
Almacen 434,Almacen 655
Almacen 434,Almacen 663
Almacen 434,Almacen 664
Almacen 434,Almacen 669
Almacen 434,Almacen 680
Almacen 434,Almacen 682
Almacen 434,Almacen 683
Almacen 434,Almacen 691
Almacen 434,Almacen 694
Almacen 434,Almacen 706
Almacen 434,Almacen 708
Almacen 434,Almacen 709
Almacen 434,Almacen 721
Almacen 434,Almacen 730
Almacen 442,Almacen 653
Almacen 443,Almacen 633
Almacen 445,Almacen 445
Almacen 449,Almacen 449
Almacen 456,Almacen 245
Almacen 456,Almacen 247
Almacen 456,Almacen 248
Almacen 456,Almacen 262
Almacen 456,Almacen 305
Almacen 456,Almacen 432
Almacen 456,Almacen 622
Almacen 456,Almacen 625
Almacen 456,Almacen 627
Almacen 456,Almacen 642
Almacen 456,Almacen 643
Almacen 456,Almacen 695
Almacen 456,Almacen 702
Almacen 456,Almacen 728
Almacen 456,Almacen 730
Almacen 456,Almacen 809
Almacen 456,Almacen 1041
Almacen 456,Almacen 1128
Almacen 456,Almacen 1133
Almacen 456,Almacen 1177
Almacen 456,Almacen 1261
Almacen 456,Almacen 1324
Almacen 456,Almacen 1379
Almacen 458,Almacen 730
Almacen 462,Almacen 432
Almacen 462,Almacen 627
Almacen 462,Almacen 643
Almacen 462,Almacen 660
Almacen 462,Almacen 683
Almacen 462,Almacen 740
Almacen 462,Almacen 1302
Almacen 463,Almacen 659
Almacen 464,Almacen 1088
Almacen 465,Almacen 685
Almacen 465,Almacen 702
Almacen 466,Almacen 659
Almacen 467,Almacen 652
Almacen 471,Almacen 443
Almacen 471,Almacen 444
