ID,CODE_Origin,CODE_Destination,Capacity
0,Almacen 252,Almacen 642,5.08
1,Almacen 252,Almacen 676,8.54
2,Almacen 260,Almacen 442,5.8
3,Almacen 260,Almacen 445,8.79
4,Almacen 260,Almacen 622,9.8
5,Almacen 260,Almacen 625,9.61
6,Almacen 260,Almacen 626,9.64
7,Almacen 260,Almacen 627,7.71
8,Almacen 260,Almacen 628,7.07
9,Almacen 260,Almacen 641,9.18
10,Almacen 260,Almacen 642,5.03
11,Almacen 260,Almacen 643,9.51
12,Almacen 260,Almacen 647,9.59
13,Almacen 260,Almacen 649,9.25
14,Almacen 260,Almacen 651,7.74
15,Almacen 260,Almacen 652,6.46
16,Almacen 260,Almacen 653,5.52
17,Almacen 260,Almacen 663,9.16
18,Almacen 260,Almacen 664,8.72
19,Almacen 260,Almacen 669,8.78
20,Almacen 260,Almacen 671,8.23
21,Almacen 260,Almacen 676,5.73
22,Almacen 260,Almacen 677,9.88
23,Almacen 260,Almacen 680,5.31
24,Almacen 260,Almacen 683,8.22
25,Almacen 260,Almacen 685,9.05
26,Almacen 260,Almacen 691,8.94
27,Almacen 260,Almacen 694,8.29
28,Almacen 260,Almacen 695,9.96
29,Almacen 260,Almacen 697,9.77
30,Almacen 260,Almacen 708,9.56
31,Almacen 260,Almacen 709,9.13
32,Almacen 260,Almacen 711,7.55
33,Almacen 260,Almacen 728,7.84
34,Almacen 260,Almacen 730,6.03
35,Almacen 264,Almacen 622,5.92
36,Almacen 264,Almacen 625,9.58
37,Almacen 264,Almacen 627,9.32
38,Almacen 264,Almacen 628,6.72
39,Almacen 264,Almacen 642,5.08
40,Almacen 264,Almacen 647,8.2
41,Almacen 264,Almacen 649,5.19
42,Almacen 264,Almacen 651,5.04
43,Almacen 264,Almacen 653,5.59
44,Almacen 264,Almacen 663,7.68
45,Almacen 264,Almacen 664,8.1
46,Almacen 264,Almacen 669,5.15
47,Almacen 264,Almacen 676,6.53
